id,lat,lon,amenity,name,capacity,emergency,opening_hours,phone,website,email,twitter,address
498886460,21.5320022,39.1781249,hospital,New Jeddah hospital,371,yes,,,,,,"New Jeddah hospital, طريق المدينة, الحمراء, جدة, محافظة جدة, منطقة مكة المكرمة, 23324-4438, السعودية"
560598875,21.5285939,39.1577749,hospital,Saudi American Polyclinic,,,,,,,,"Saudi American Polyclinic, Nasif, الحمراء, جدة, محافظة جدة, منطقة مكة المكرمة, 22315, السعودية"
1096899963,21.6124045,39.1694832,hospital,Badruhddin Hospital,,,,,,,,"Badruhddin Hospital, طريق الملك فهد, الربوه, جدة, محافظة جدة, منطقة مكة المكرمة, 23534, السعودية"
1497744277,21.5256557,39.1678509,hospital,"Dr. Soliman Fakeeh Hospital (12,588 patient )",,,,+966 12 6655000,,,,"Dr. Soliman Fakeeh Hospital (12,588 patient ), شارع فلسطين, الحمراء, جدة, محافظة جدة, منطقة مكة المكرمة, 23212, السعودية"
3283499836,21.5556286,39.1271364,hospital,Saudi Airlines Medical Services,,,,,,,,"Saudi Airlines Medical Services, شارع التحلية, الخالدية, جدة, محافظة جدة, منطقة مكة المكرمة, 23514, السعودية"
3283502413,21.5538873,39.1242282,hospital,Dr. Samir Abbas Hospital,,,,,,,,"Dr. Samir Abbas Hospital, طريق الكورنيش الشمالي, الشاطئ, جدة, محافظة جدة, منطقة مكة المكرمة, 23417, السعودية"
3283507122,21.6025772,39.1201183,hospital,Al Mashfa Hospital,,,,,,,,"Al Mashfa Hospital, طريق الملك عبد العزيز, الشاطئ, جدة, محافظة جدة, منطقة مكة المكرمة, 23514, السعودية"
3298084039,21.6278080,39.1488723,hospital,Al Amal Hospital,,,,,,,,"Al Amal Hospital, شارع الأمل, النعيم, جدة, محافظة جدة, منطقة مكة المكرمة, 23622, السعودية"
4149935274,21.6321066,39.2071302,hospital,مركزصحي المروة,,,,,,,,"مركزصحي المروة, طريق الأمير أحمد بن عبدالعزيز, جدة, محافظة جدة, منطقة مكة المكرمة, 23242, السعودية"
4205060297,21.5507685,39.1949164,hospital,,,,24/7,0126710040,https://www.jnhsa.com/,info@jnhsa.com,,"طريق المكرونة, العزيزية, جدة, محافظة جدة, منطقة مكة المكرمة, 23336, السعودية"
4248784931,21.5914054,39.1537103,hospital,مركز صحة السلامه,,,,,,,,"مركز صحة السلامه, Ibn Abi Al Wafa, السلامة, جدة, محافظة جدة, منطقة مكة المكرمة, 23436, السعودية"
4277679492,21.5862244,39.1563231,hospital,مستوصف,,,,,,,,"مستوصف, Mawakib An Nasr, السلامة, جدة, محافظة جدة, منطقة مكة المكرمة, 23436, السعودية"
4277696289,21.5836538,39.1542824,hospital,Ansar hospital,,,,,,,,"مستشفى الأنصار, Hadiqat Rami, السلامة, جدة, محافظة جدة, منطقة مكة المكرمة, 23436, السعودية"
4316412292,21.5842573,39.2080678,hospital,مستشفى الجدعاني,,,,,,,,"مستشفى الجدعاني, طريق الامير متعب بن عبدالعزيز, الصفا, جدة, محافظة جدة, منطقة مكة المكرمة, 23451, السعودية"
4316412294,21.5429899,39.2068981,hospital,مستوصف شار الطبي,,,,,,,,"مستوصف شار الطبي, طريق الأمير ماجد, مشرفة, جدة, محافظة جدة, منطقة مكة المكرمة, 23336, السعودية"
4316413890,21.6299543,39.1875101,hospital,مستوصف السهلي,,,,,,,,"مستوصف السهلي, شارع عمره النجارية, المروة, جدة, محافظة جدة, منطقة مكة المكرمة, 23534, السعودية"
4316435495,21.5587543,39.2103131,hospital,مستوصف ابن سيناء الطبي,,,,,,,,"مستوصف ابن سيناء الطبي, Udaba Street, العزيزية, جدة, محافظة جدة, منطقة مكة المكرمة, 23342, السعودية"
4319958593,21.5412085,39.2094434,hospital,Saudi hospittal shara 17eeen,,,,,,,,"Saudi hospittal shara 17eeen, الرابطة الإسلامية, مشرفة, جدة, محافظة جدة, منطقة مكة المكرمة, 23336, السعودية"
4340873693,21.5761280,39.1790170,hospital,Dr. Erfan Hospital,,,,,,,,"Dr. Erfan Hospital (3,582 patient ), Al Mahad as Sinai, الفيصلية, جدة, محافظة جدة, منطقة مكة المكرمة, 23442, السعودية"
4642439738,21.4991850,39.2008958,hospital,مستشفى جدة الوطني,,,,,,,,"مستشفى جدة الوطني, Al Matar st. شارع المطار, الكندرة, جدة, محافظة جدة, منطقة مكة المكرمة, 16992, السعودية"
4888205421,21.5387892,39.1728196,hospital,hospital of birth & children,,,,,,,,"مستشفى الولادة والأطفال, شارع ابراهيم الجفالي, الحمراء, جدة, محافظة جدة, منطقة مكة المكرمة, 23432, السعودية"
5410423752,21.5166617,39.2344814,hospital,مركز اسعاف النسيم,,yes,,,,,,"مركز اسعاف النسيم, سليمان بن حبيب, النسيم, جدة, محافظة جدة, منطقة مكة المكرمة, 22253, السعودية"
7042778985,21.4739712,39.2118219,hospital,Magrabi Eye Hospital,,,,,https://www.magrabi.com.sa/,,,"مستشفى مغربي للعيون, قصر خزام, النزلة اليمانية, محافظة جدة, منطقة مكة المكرمة, 22331, السعودية"
9485346533,21.6003398,39.2194036,hospital,الهلال الاحمر السعودي,,,,,,,,"الهلال الاحمر السعودي, طريق الحرمين, الصفا, قويزة, جدة, محافظة جدة, منطقة مكة المكرمة, 22261, السعودية"
11005547787,21.5094840,39.2033708,hospital,Family Medicine Speciality Center,,,,,,fms.clinic1@gmail.com,https://twitter.com/FMSC_SA,"مجمع طب العائلة المتخصص, طريق الملك عبدالله, الفيحاء, جدة, محافظة جدة, منطقة مكة المكرمة, 23222, السعودية"
